learning rate;# of epochs;momentum;Root mean squared error;hidden layers;Correctly Classified Instances;Mean absolute error;Root relative squared error;Relative absolute error;filename
0.2;2000.0;0.2;0.3049;a,a;74.8815;0.1023;82.031;36.9966;reports/run_1/Feb 18, 2016 12:31:51 AMc5ead15f-2a03-45e4-8855-288293a38a7a
0.5;500.0;0.2;0.2956;a,a;74.8815;0.1027;79.5294;37.1564;reports/run_1/Feb 18, 2016 12:37:13 AM68d28344-76d6-4972-8e77-63ce5845adeb
0.8;1000.0;0.2;0.3029;a;74.8815;0.1048;81.4974;37.9136;reports/run_1/Feb 17, 2016 6:21:41 PM51ef9980-43a6-4f77-8ff4-f5fdbdaad725
0.2;2000.0;0.2;0.304;a,t;74.9342;0.1012;81.7869;36.5865;reports/run_1/Feb 18, 2016 12:26:52 PM4c568df2-fb2a-4898-9f9c-32dc50f66691
0.5;500.0;0.2;0.2919;t;74.9342;0.1029;78.5234;37.2016;reports/run_1/Feb 17, 2016 8:20:04 PMb6de1029-af20-4e8a-be6e-a5522ba18302
0.2;500.0;0.8;0.2949;t,a;74.9342;0.1056;79.3289;38.2043;reports/run_1/Feb 18, 2016 9:36:52 AMeb3bc03f-6eb9-495a-b98a-25899f3f36ad
0.5;1000.0;0.2;0.2985;a,a;74.9342;0.1021;80.2934;36.9419;reports/run_1/Feb 18, 2016 12:49:26 AMe96d656c-2726-4c47-aa1d-f17aea9db028
0.2;3000.0;0.8;0.3014;t,a;74.9342;0.104;81.0692;37.6307;reports/run_1/Feb 18, 2016 10:11:19 AMcdc76b2d-925d-45be-b64a-c22f0258bd40
0.1;500.0;0.5;0.2992;a,a;74.9868;0.1026;80.4801;37.1114;reports/run_1/Feb 18, 2016 1:21:32 AMf8908725-43ae-4444-95fd-ad9870c74415
0.8;500.0;0.2;0.2914;t,a;74.9868;0.1051;78.3944;38.0142;reports/run_1/Feb 18, 2016 5:37:36 AMb669be78-78dd-4117-b184-ee6673a707dc
0.1;1000.0;0.5;0.2928;a;74.9868;0.1047;78.7657;37.8673;reports/run_1/Feb 17, 2016 6:35:44 PM1d43b4b0-dce6-4c51-8ca8-50b3d77d30b3
0.2;3000.0;0.8;0.2979;t;75.0395;0.1024;80.1509;37.0465;reports/run_1/Feb 17, 2016 11:05:46 PM8a3e17b4-db4d-4b2c-a4e4-21da0ee12adc
0.5;3000.0;0.2;0.3015;t,a;75.0395;0.1013;81.1113;36.6353;reports/run_1/Feb 18, 2016 5:20:15 AM245efcdf-c24b-4323-bb68-6afc8b83366e
0.8;2000.0;0.2;0.2962;t,a;75.0395;0.1026;79.6936;37.1255;reports/run_1/Feb 18, 2016 5:49:35 AM2057bca9-4e95-4c0a-88ea-00400585197d
0.5;2000.0;0.5;0.3;t,t;75.0395;0.1013;80.707;36.6361;reports/run_1/Feb 18, 2016 11:44:45 PMd95665a7-3f3c-4049-8a2b-8d523733fafd
0.2;1000.0;0.5;0.3005;a,a;75.0395;0.102;80.8302;36.8975;reports/run_1/Feb 18, 2016 1:48:58 AM67026dd0-90e8-48ba-8c0f-847a5928d5f1
0.2;500.0;0.8;0.2943;a;75.0395;0.1031;79.1713;37.2755;reports/run_1/Feb 17, 2016 7:17:36 PM03520b88-e378-449a-98fc-81f9246f8e9e
0.1;3000.0;0.8;0.2993;t,t;75.0922;0.1011;80.5181;36.5688;reports/run_1/Feb 19, 2016 2:01:21 AM3c690b15-e225-4dc8-ab12-3436b3d91ae0
0.8;1000.0;0.5;0.2876;a,a;75.0922;0.1124;77.3811;40.658;reports/run_1/Feb 18, 2016 2:30:09 AM1ca2defa-7d74-440b-b418-f286eb19ea66
0.8;2000.0;0.5;0.3041;a;75.0922;0.1035;81.814;37.4167;reports/run_1/Feb 17, 2016 7:05:34 PM6660cbdf-61d1-453f-86b7-3c93cbc18e46
0.8;3000.0;0.5;0.2877;a,a;75.1448;0.1084;77.4003;39.2059;reports/run_1/Feb 18, 2016 2:42:41 AM00c1090e-26ab-4409-a040-e7c34411469d
